url_from,url_to
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/about
https://www.cs.utexas.edu/about,https://coronavirus.utexas.edu/
https://www.cs.utexas.edu/about,http://cs.utexas.edu/coronavirus
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/news
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/utcs-direct
https://www.cs.utexas.edu/about,https://utdirect.utexas.edu/apps/utgiving/online/nlogon/?menu1=NSCU
https://www.cs.utexas.edu/about,https://www.utexas.edu/
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/
https://www.cs.utexas.edu/about,https://cns.utexas.edu/
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/research
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/research/areas
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/research/research-seminars
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/research/ut-research-links
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/research/publications
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/people
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/people/staff
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/people/offices
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/awards
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/awards/research-awards
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/awards/service-awards
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/awards/teaching-awards
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/awards/graduate-student-awards
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/admissions
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/admissions/prospective-students
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/admissions/internal-transfers
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/turing-scholars
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/academics
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/academics/advising
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/academics/advising/orientation
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate/academics/advising/forms
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/academics/advising/preparing-graduate-school
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/academics/concentrations
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/concentrations/big-data
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/concentrations/systems
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/concentrations/cybersecurity
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/concentrations/game-development
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/concentrations/mlai
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/concentrations/mobile-computing
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/academics/curriculum
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/node/69868
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/academics/curriculum/courses
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/academics/curriculum/degree-plans
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate-program/academics/curriculum/teaching-plans
https://www.cs.utexas.edu/about,https://www.cs.utexas.edu/undergraduate/academics/curriculum/5-year-bsms
https://www.cs.utexas.edu/about,https://apps.cs.utexas.edu/apps/classes/homepages
